Nested	Procedure	Content	WM	DT	BlockType	Trials1	Trials2	Trials3	CorrectRatio	
BlockProc		spatial	yes	no	SpatialDelay	2	3	2		
BlockProc		verbal	no	yes	VerbalSwitch	3	5	3		
BlockProc		spatial	no	no	SpatialControl	2	3	2		
BlockProc		verbal	no	yes	VerbalSwitch	3	5	2		
BlockProc		spatial	yes	yes	SpatialBranch	2	3	2		
BlockProc		verbal	yes	no	VerbalDelay	3	5	3		
BlockProc		verbal	no	no	VerbalControl	2	3	2		
BlockProc		spatial	yes	yes	SpatialBranch	2	3	3		
BlockProc		verbal	yes	no	VerbalDelay	2	3	2		
BlockProc		spatial	no	no	SpatialControl	2	3	3		
BlockProc		verbal	yes	yes	VerbalBranch	3	5	3		
BlockProc		verbal	no	no	VerbalControl	3	5	2		
BlockProc		spatial	no	yes	SpatialSwitch	3	5	2		
BlockProc		spatial	yes	no	SpatialDelay	2	3	3		
BlockProc		verbal	yes	yes	VerbalBranch	3	5	3		
BlockProc		spatial	no	yes	SpatialSwitch	3	5	3		
BlockProc		spatial	no	no	SpatialControl	3	5	3		
BlockProc		verbal	yes	no	VerbalDelay	3	5	3		
BlockProc		verbal	yes	yes	VerbalBranch	2	3	3		
BlockProc		spatial	yes	no	SpatialDelay	2	3	3		
BlockProc		verbal	no	no	VerbalControl	2	3	3		
BlockProc		spatial	no	yes	SpatialSwitch	2	3	2		
BlockProc		verbal	yes	no	VerbalDelay	3	5	2		
BlockProc		spatial	no	yes	SpatialSwitch	3	5	2		
BlockProc		spatial	no	no	SpatialControl	2	3	2		
BlockProc		verbal	yes	yes	VerbalBranch	3	5	2		
BlockProc		verbal	yes	no	VerbalSwitch	2	3	2		
BlockProc		spatial	yes	yes	SpatialBranch	3	5	3		
BlockProc		verbal	no	no	VerbalControl	2	3	3		
BlockProc		spatial	yes	no	SpatialDelay	3	5	2		
BlockProc		verbal	yes	no	VerbalSwitch	2	3	3		
BlockProc		spatial	yes	yes	SpatialBranch	3	5	2		
BlockProc		spatial	yes	no	SpatialDelay	3	5	3		
BlockProc		verbal	no	no	VerbalControl	2	3	2		
BlockProc		verbal	yes	yes	VerbalBranch	2	3	2		
BlockProc		spatial	no	yes	SpatialSwitch	2	3	2		
BlockProc		verbal	yes	yes	VerbalBranch	3	5	2		
BlockProc		verbal	yes	no	VerbalDelay	2	3	2		
BlockProc		spatial	no	no	SpatialControl	2	3	3		
BlockProc		verbal	no	yes	VerbalSwitch	3	5	2		
BlockProc		spatial	yes	yes	SpatialBranch	2	3	2		
BlockProc		verbal	yes	no	VerbalDelay	3	5	2		
BlockProc		spatial	no	yes	SpatialSwitch	2	3	3		
BlockProc		spatial	no	no	SpatialControl	3	5	3		
BlockProc		verbal	yes	no	VerbalSwitch	2	3	3		
BlockProc		spatial	yes	yes	SpatialBranch	3	5	3		
BlockProc		verbal	no	no	VerbalControl	3	5	3		
BlockProc		spatial	yes	no	SpatialDelay	3	5	3		
BlockProc		verbal	no	yes	VerbalSwitch	3	5	3		
BlockProc		spatial	no	no	SpatialControl	3	5	2		
BlockProc		verbal	yes	no	VerbalDelay	2	3	3		
BlockProc		spatial	yes	yes	SpatialBranch	2	3	3		
BlockProc		verbal	no	no	VerbalControl	3	5	3		
BlockProc		spatial	no	yes	SpatialSwitch	2	3	3		
BlockProc		verbal	yes	no	VerbalDelay	2	3	3		
BlockProc		spatial	no	yes	SpatialSwitch	3	5	3		
BlockProc		verbal	yes	yes	VerbalBranch	2	3	3		
BlockProc		verbal	yes	no	VerbalSwitch	2	3	2		
BlockProc		spatial	no	no	SpatialControl	3	5	2		
BlockProc		spatial	yes	no	SpatialDelay	3	5	2		
BlockProc		spatial	yes	yes	SpatialBranch	3	5	2		
BlockProc		verbal	no	no	VerbalControl	3	5	2		
BlockProc		spatial	yes	no	SpatialDelay	2	3	2		
BlockProc		verbal	yes	yes	VerbalBranch	2	3	2		
