Weight	Nested	Procedure	Content	WM	DT	BlockType	Trials1	Trials2	Trials3	CorrectRatio
1		BlockProc	spatial	yes	no	SpatialDelay	2	5	3	
1		BlockProc	verbal	yes	yes	VerbalBranch	3	3	2	
1		BlockProc	spatial	no	yes	SpatialSwitch	3	5	2	
1		BlockProc	verbal	no	no	VerbalControl	3	5	3	
1		BlockProc	spatial	yes	yes	SpatialBranch	3	3	2	
1		BlockProc	verbal	no	no	VerbalControl	2	3	2	
1		BlockProc	verbal	yes	no	VerbalDelay	2	3	3	
1		BlockProc	spatial	no	no	SpatialControl	2	5	3	
1		BlockProc	verbal	yes	no	VerbalDelay	3	5	3	
1		BlockProc	spatial	no	no	SpatialControl	2	5	3	
1		BlockProc	verbal	yes	yes	VerbalBranch	2	3	3	
1		BlockProc	verbal	no	yes	VerbalSwitch	2	3	2	
1		BlockProc	spatial	yes	no	SpatialDelay	3	3	2	
1		BlockProc	verbal	no	yes	VerbalSwitch	3	5	2	
1		BlockProc	spatial	yes	yes	SpatialBranch	3	3	2	
1		BlockProc	spatial	no	yes	SpatialSwitch	2	5	3	
1		BlockProc	spatial	yes	yes	SpatialBranch	3	5	2	
1		BlockProc	spatial	yes	no	SpatialDelay	3	5	3	
1		BlockProc	verbal	yes	yes	VerbalBranch	3	5	2	
1		BlockProc	spatial	no	yes	SpatialSwitch	3	3	3	
1		BlockProc	verbal	no	no	VerbalControl	3	3	2	
1		BlockProc	verbal	no	yes	VerbalSwitch	2	5	3	
1		BlockProc	spatial	no	no	SpatialControl	2	3	2	
1		BlockProc	verbal	yes	no	VerbalDelay	3	5	3	
1		BlockProc	spatial	no	no	SpatialControl	2	3	3	
1		BlockProc	verbal	yes	no	VerbalDelay	2	5	3	
1		BlockProc	spatial	no	yes	SpatialSwitch	2	3	3	
1		BlockProc	verbal	yes	yes	VerbalBranch	2	3	2	
1		BlockProc	spatial	yes	no	SpatialDelay	3	3	3	
1		BlockProc	verbal	no	no	VerbalControl	2	5	2	
1		BlockProc	spatial	yes	yes	SpatialBranch	2	5	2	
1		BlockProc	verbal	no	yes	VerbalSwitch	3	3	2	
1		BlockProc	spatial	no	yes	SpatialSwitch	2	5	2	
1		BlockProc	spatial	yes	yes	SpatialBranch	3	3	3	
1		BlockProc	verbal	no	no	VerbalControl	2	3	2	
1		BlockProc	spatial	no	yes	SpatialSwitch	3	5	3	
1		BlockProc	verbal	yes	no	VerbalDelay	2	3	2	
1		BlockProc	spatial	yes	yes	SpatialBranch	2	5	3	
1		BlockProc	verbal	no	yes	VerbalSwitch	3	5	3	
1		BlockProc	spatial	yes	no	SpatialDelay	2	5	3	
1		BlockProc	verbal	yes	yes	VerbalBranch	2	5	2	
1		BlockProc	verbal	yes	no	VerbalDelay	2	3	3	
1		BlockProc	spatial	no	no	SpatialControl	3	3	3	
1		BlockProc	verbal	no	yes	VerbalSwitch	2	3	3	
1		BlockProc	verbal	no	no	VerbalControl	3	5	2	
1		BlockProc	spatial	yes	no	SpatialDelay	2	3	2	
1		BlockProc	verbal	yes	yes	VerbalBranch	3	3	3	
1		BlockProc	spatial	no	no	SpatialControl	3	5	2	
1		BlockProc	verbal	no	yes	VerbalSwitch	2	5	2	
1		BlockProc	spatial	yes	no	SpatialDelay	2	5	2	
1		BlockProc	verbal	yes	yes	VerbalBranch	2	5	2	
1		BlockProc	spatial	no	yes	SpatialSwitch	2	3	2	
1		BlockProc	spatial	no	no	SpatialControl	3	5	3	
1		BlockProc	verbal	yes	no	VerbalDelay	2	3	2	
1		BlockProc	spatial	no	no	SpatialControl	2	5	2	
1		BlockProc	verbal	yes	yes	VerbalBranch	3	5	3	
1		BlockProc	spatial	no	yes	SpatialSwitch	3	3	2	
1		BlockProc	verbal	no	no	VerbalControl	3	5	2	
1		BlockProc	verbal	no	yes	VerbalSwitch	3	3	2	
1		BlockProc	spatial	yes	no	SpatialDelay	3	5	2	
1		BlockProc	spatial	yes	yes	SpatialBranch	3	5	2	
1		BlockProc	verbal	no	no	VerbalControl	2	5	3	
1		BlockProc	spatial	yes	yes	SpatialBranch	2	3	2	
1		BlockProc	verbal	yes	no	VerbalDelay	3	3	3	
